SUBJECT,SP,Start,End,Length
A,1,2232.3666670000002,2240.3583329999997,7.991666
A,2,2256.3666670000002,2264.3583329999997,7.991666
A,3,2280.3666670000002,2288.3666670000002,
A,4,2301.7,2308.3583329999997,6.658333
A,5,2321.7,2328.3583329999997,6.658333
A,6,2341.7,2348.35,6.65
A,7,2361.7,2368.35,6.65
A,8,2381.7,2388.3583329999997,6.658333
A,9,2401.7,2408.3583329999997,6.658333
A,10,2421.7,2428.35,6.65
A,11,2441.7,2448.3583329999997,6.658333
A,12,2461.7,2468.341667,6.641667
A,13,2481.7,2488.35,6.65
A,14,2501.7,2508.3583329999997,6.658333
A,15,2521.7,2528.333333,6.633333
A,16,2541.7,2548.3583329999997,6.658333
A,17,2561.7,2568.3583329999997,6.658333
A,18,2581.7,2588.3583329999997,6.658333
A,19,2601.7,2608.3583329999997,6.658333
A,20,2621.7,2628.3583329999997,6.658333
B,1,6839.0,6846.975,7.975
B,2,6863.0,6870.975,7.975
B,3,6887.0,6894.991667,7.991667
B,4,6908.35,6915.008333,6.658333
B,5,6928.366667,6935.0,6.633333
B,6,6948.5,6955.058333,6.558333
B,7,6968.35,6974.983333,6.633333
B,8,6988.35,6994.991667,6.641667
B,9,7008.35,7014.983333,6.633333
B,10,7028.416667,7034.991667,6.575
B,11,7048.333333,7055.0,6.6666669999999995
B,12,7068.333333,7074.991667,6.658334
B,13,7088.333333,7094.991667,6.658334
B,14,7108.333333,7114.975,6.641667
B,15,7128.333333,7134.975,6.641667
B,16,7148.333333,7154.991667,6.658334
B,17,7168.333333,7174.983333,6.65
B,18,7188.333333,7194.975,6.641667
B,19,7208.333333,7214.991667,6.658334
B,20,7228.333333,7234.991667,6.658334
B,21,7248.333333,7254.983333,6.65
B,22,7268.333333,7274.991667,6.658334
B,23,7288.341667000001,7295.058333,6.716666
B,24,7308.333333,7314.991667,6.658334
B,25,7328.333333,7335.0,6.6666669999999995
B,26,7348.333333,7354.991667,6.658334
B,27,7368.333333,7374.975,6.641667
B,28,7391.0,7398.991667,7.991667
B,29,7415.0,7422.983333,7.983333
C,1,527.9830000000001,536.0,8.017000000000001
C,2,552.033,560.0419999999999,8.009
C,3,576.033,584.0169999999999,7.984
C,4,612.567,626.8330000000001,14.265999999999998
C,5,655.4169999999999,669.683,14.265999999999998
C,6,698.283,712.558,14.275
C,7,741.15,755.4169999999999,14.267000000000001
C,8,783.9830000000001,798.25,14.267000000000001
C,9,826.8,841.075,14.275
C,10,869.65,883.9169999999999,14.267000000000001
C,11,912.4830000000001,926.75,14.267000000000001
C,12,955.383,969.65,14.267000000000001
C,13,998.2330000000001,1012.5,14.267000000000001
C,14,1041.083,1055.35,14.267000000000001
C,15,1083.933,1098.225,14.292
C,16,1126.7830000000001,1141.05,14.267000000000001
C,17,1169.617,1183.883,14.265999999999998
D,1,5687.066667,5695.058333,7.991666
D,2,5711.066667,5719.058333,7.991666
D,3,5735.066667,5743.066667,
D,4,5756.4,5763.058333,6.658333
D,5,5776.4,5783.058333,6.658333
D,6,5796.4,5803.058333,6.658333
D,7,5816.4,5823.058333,6.658333
D,8,5836.4,5843.058333,6.658333
D,9,5856.4,5863.058333,6.658333
D,10,5876.4,5883.058333,6.658333
D,11,5896.4,5903.058333,6.658333
D,12,5916.4,5923.07,
D,13,5936.4,5943.058333,6.658333
D,14,5956.4,5963.058333,6.658333
D,15,5976.4,5983.058333,6.658333
D,16,5996.4,6003.058333,6.658333
D,17,6016.4,6023.058333,6.658333
D,18,6036.4,6043.058333,6.658333
D,19,6056.4,6063.07,
D,20,6076.4,6083.058333,6.658333
D,21,6096.4,6103.058333,6.658333
D,22,6116.4,6123.058333,6.658333
D,23,6136.4,6143.058333,6.658333
D,24,6156.4,6163.058333,6.658333
D,25,6176.4,6183.058333,6.658333
D,26,6196.4,6203.058333,6.658333
D,27,6216.4,6223.058333,6.658333
D,28,6239.066667,6247.058333,7.991666
D,29,6263.066667,6271.058333,7.991666
D,30,6287.066667,6295.058333,7.991666
E,1,6889.026667,6897.01,7.983333
E,2,6913.026667,6921.01,
E,3,6937.017778,6945.009443999999,7.991666
E,4,6973.589722,6987.864722,14.275
E,5,7016.441111,7030.716111,14.275
E,6,7059.289167,7073.564167,14.275
E,7,7102.135556,7116.410556,14.275
E,8,7144.991111,7159.266111,14.275
E,9,7187.824167,7202.099167,14.275
E,10,7230.691389,7244.966389,14.275
E,11,7273.541111,7287.816111,14.275
E,12,7316.391389,7330.666389,14.275
E,13,7359.233333,7373.508333,14.275
E,14,7402.089722,7416.364722,14.275
E,15,7444.935278,7459.2102780000005,14.275
E,16,7487.802222,7502.060556,14.258334
E,17,7530.633333,7544.908332999999,14.275
F,1,6070.816667,6078.808333,7.991666
F,2,6094.816667,6102.808333,7.991666
F,3,6118.816667,6126.808333,7.991666
F,4,6140.1416659999995,6146.808332,
F,5,6160.15,6166.808333,6.658333
F,6,6180.15,6186.808333,6.658333
F,7,6200.15,6206.82,
F,8,6220.15,6226.808333,6.658333
F,9,6240.15,6246.808333,6.658333
F,10,6260.15,6266.808333,6.658333
F,11,6280.15,6286.808333,6.658333
F,12,6300.15,6306.808333,6.658333
F,13,6320.15,6326.808333,6.658333
F,14,6340.15,6346.808333,6.658333
F,15,6360.15,6366.808333,6.658333
F,16,6380.15,6386.808333,6.658333
F,17,6400.15,6406.808333,6.658333
F,18,6420.15,6426.808333,6.658333
F,19,6440.15,6446.8,6.65
F,20,6460.15,6466.808333,6.658333
F,21,6480.15,6486.808333,6.658333
F,22,6500.15,6506.808333,6.658333
F,23,6520.15,6526.82,
F,24,6540.15,6546.791667,6.641667
F,25,6560.15,6566.808333,6.658333
F,26,6580.15,6586.82,
F,27,6600.15,6606.808333,6.658333
F,28,6622.816667,6630.808333,7.991666
F,29,6646.816667,6654.808333,7.991666
G,1,7366.233333,7374.225,7.991667
G,2,7390.233333,7398.225,7.991667
G,3,7414.233333,7422.225,7.991667
G,4,7435.566667,7442.225,6.658333
G,5,7455.566667,7462.225,6.658333
G,6,7475.566667,7482.225,6.658333
G,7,7495.566667,7502.225,6.658333
G,8,7515.566667,7522.225,6.658333
G,9,7535.566667,7542.225,6.658333
G,10,7555.566667,7562.225,6.658333
G,11,7575.566667,7582.225,6.658333
G,12,7595.566667,7602.225,6.658333
G,13,7615.566667,7622.225,6.658333
G,14,7635.566667,7642.225,6.658333
G,15,7655.566667,7662.225,6.658333
G,16,7675.566667,7682.225,6.658333
G,17,7695.566667,7702.225,6.658333
G,18,7715.566667,7722.225,6.658333
G,19,7735.566667,7742.225,6.658333
G,20,7755.566667,7760.441667,4.875
G,21,7775.566667,7782.225,6.658333
G,22,7795.566667,7802.225,6.658333
G,23,7815.566667,7822.225,6.658333
G,24,7835.566667,7842.225,6.658333
